Function                       CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                Source File  Start Address
-----------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  -----------------------------  -----------  -------------
__strcmp_sse42                  40.610s                  40.610s                            0s                       40.610s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                 [Unknown]    0x13e6f0     
handleEpsilon._omp_fn.0         20.070s                  20.070s                            0s                       20.070s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0        [Unknown]    0x402b6d     
gomp_mutex_lock_slow             0.900s                       0s                            0s                            0s                          0s                             0s                            0s              0.900s                                               0s                              0.900s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow           [Unknown]    0x1d260      
determineNextStates._omp_fn.0    0.670s                   0.670s                            0s                        0.670s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0  [Unknown]    0x402891     
[Import thunk strcmp]            0.650s                   0.650s                            0s                        0.650s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]          [Unknown]    0x400e00     
GOMP_critical_start              0.390s                   0.390s                            0s                        0.390s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start            [Unknown]    0xc800       
GOMP_critical_end                0.320s                   0.320s                            0s                        0.320s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end              [Unknown]    0xc820       
printf                           0.050s                   0.050s                            0s                        0.050s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     printf                         [Unknown]    0x532a0      
__isoc99_fscanf                  0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __isoc99_fscanf                [Unknown]    0x6c160      
gomp_iter_dynamic_next           0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next         [Unknown]    0xd260       
parseTransitions                 0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       parseTransitions               [Unknown]    0x401994     
__memset_sse2                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __memset_sse2                  [Unknown]    0x8f680      
__strlen_sse2_pminub             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strlen_sse2_pminub           [Unknown]    0x16efe0     
gomp_team_end                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_end                  [Unknown]    0x1c630      
gomp_barrier_wait_end            0.010s                       0s                            0s                            0s                          0s                             0s                            0s              0.010s                                           0.010s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end          [Unknown]    0x1d940      
free                             0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     free                           [Unknown]    0x85c20      
gomp_team_barrier_wait_end       0.010s                       0s                            0s                            0s                          0s                             0s                            0s              0.010s                                           0.010s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_barrier_wait_end     [Unknown]    0x1dac0      
handleEpsilon                    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon                  [Unknown]    0x4021ec     
