Function                          CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                   Source File  Start Address
--------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  --------------------------------  -----------  -------------
__strcmp_sse42                     40.570s                  40.570s                            0s                       40.570s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                    [Unknown]    0x13e6f0     
handleEpsilon._omp_fn.0            19.350s                  19.350s                            0s                       19.350s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0           [Unknown]    0x402b6d     
gomp_mutex_lock_slow                7.960s                       0s                            0s                            0s                          0s                             0s                            0s              7.960s                                               0s                              7.960s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow              [Unknown]    0x1d260      
GOMP_critical_start                 1.830s                   1.830s                            0s                        1.830s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start               [Unknown]    0xc800       
GOMP_critical_end                   1.760s                   1.760s                            0s                        1.760s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end                 [Unknown]    0xc820       
[Import thunk strcmp]               0.800s                   0.800s                            0s                        0.800s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]             [Unknown]    0x400e00     
determineNextStates._omp_fn.0       0.630s                   0.630s                            0s                        0.630s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0     [Unknown]    0x402891     
gomp_iter_dynamic_next              0.100s                   0.100s                            0s                        0.100s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next            [Unknown]    0xd260       
__isoc99_fscanf                     0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __isoc99_fscanf                   [Unknown]    0x6c160      
__strcpy_sse2_unaligned             0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcpy_sse2_unaligned           [Unknown]    0x9a3f0      
__memset_sse2                       0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __memset_sse2                     [Unknown]    0x8f680      
printf                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     printf                            [Unknown]    0x532a0      
calloc                              0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     calloc                            [Unknown]    0x86210      
gomp_barrier_wait_end               0.020s                       0s                            0s                            0s                          0s                             0s                            0s              0.020s                                           0.020s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end             [Unknown]    0x1d940      
[Import thunk GOMP_critical_end]    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk GOMP_critical_end]  [Unknown]    0x400d80     
parseTransitions                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       parseTransitions                  [Unknown]    0x401994     
