Function                            CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                     Source File  Start Address
----------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  ----------------------------------  -----------  -------------
__strcmp_sse42                       43.390s                  43.390s                            0s                       43.390s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                      [Unknown]    0x13e6f0     
gomp_mutex_lock_slow                 25.330s                       0s                            0s                            0s                          0s                             0s                            0s             25.330s                                               0s                             25.330s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow                [Unknown]    0x1d260      
handleEpsilon._omp_fn.0              20.120s                  20.120s                            0s                       20.120s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0             [Unknown]    0x402b6d     
GOMP_critical_end                     2.850s                   2.850s                            0s                        2.850s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end                   [Unknown]    0xc820       
GOMP_critical_start                   2.620s                   2.620s                            0s                        2.620s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start                 [Unknown]    0xc800       
[Import thunk strcmp]                 0.790s                   0.790s                            0s                        0.790s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]               [Unknown]    0x400e00     
determineNextStates._omp_fn.0         0.730s                   0.730s                            0s                        0.730s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0       [Unknown]    0x402891     
gomp_iter_dynamic_next                0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next              [Unknown]    0xd260       
gomp_barrier_wait_end                 0.040s                       0s                            0s                            0s                          0s                             0s                            0s              0.040s                                           0.040s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end               [Unknown]    0x1d940      
gomp_team_barrier_wait_cancel_end     0.030s                       0s                            0s                            0s                          0s                             0s                            0s              0.030s                                           0.030s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_barrier_wait_cancel_end   [Unknown]    0x1dc80      
parseTransitions                      0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       parseTransitions                    [Unknown]    0x401994     
pointerInArray                        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       pointerInArray                      [Unknown]    0x402471     
printf                                0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     printf                              [Unknown]    0x532a0      
__strlen_sse2_pminub                  0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strlen_sse2_pminub                [Unknown]    0x16efe0     
__isoc99_fscanf                       0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __isoc99_fscanf                     [Unknown]    0x6c160      
GOMP_barrier_cancel                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_barrier_cancel                 [Unknown]    0xc7e0       
[Import thunk GOMP_critical_start]    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk GOMP_critical_start]  [Unknown]    0x400ec0     
gomp_team_end                         0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_end                       [Unknown]    0x1c630      
[Import thunk GOMP_critical_end]      0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk GOMP_critical_end]    [Unknown]    0x400d80     
