Function                           CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                    Source File  Start Address
---------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  ---------------------------------  -----------  -------------
gomp_mutex_lock_slow                35.850s                       0s                            0s                            0s                          0s                             0s                            0s             35.850s                                               0s                             35.850s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow               [Unknown]    0x1d260      
__strcmp_sse42                      11.380s                  11.380s                            0s                       11.380s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                     [Unknown]    0x13e6f0     
handleEpsilon._omp_fn.0              5.210s                   5.210s                            0s                        5.210s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0            [Unknown]    0x402b6d     
GOMP_critical_start                  2.190s                   2.190s                            0s                        2.190s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start                [Unknown]    0xc800       
GOMP_critical_end                    2.160s                   2.160s                            0s                        2.160s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end                  [Unknown]    0xc820       
determineNextStates._omp_fn.0        0.430s                   0.430s                            0s                        0.430s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0      [Unknown]    0x402891     
[Import thunk strcmp]                0.280s                   0.280s                            0s                        0.280s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]              [Unknown]    0x400e00     
gomp_iter_dynamic_next               0.090s                   0.090s                            0s                        0.090s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next             [Unknown]    0xd260       
gomp_barrier_wait_end                0.070s                       0s                            0s                            0s                          0s                             0s                            0s              0.070s                                           0.070s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end              [Unknown]    0x1d940      
__isoc99_fscanf                      0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __isoc99_fscanf                    [Unknown]    0x6c160      
gomp_team_barrier_wait_cancel_end    0.020s                       0s                            0s                            0s                          0s                             0s                            0s              0.020s                                           0.020s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_barrier_wait_cancel_end  [Unknown]    0x1dc80      
parseTransitions                     0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       parseTransitions                   [Unknown]    0x401994     
__strcpy_sse2_unaligned              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcpy_sse2_unaligned            [Unknown]    0x9a3f0      
calloc                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     calloc                             [Unknown]    0x86210      
printf                               0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     printf                             [Unknown]    0x532a0      
gomp_team_end                        0.010s                       0s                            0s                            0s                          0s                             0s                            0s              0.010s                                           0.010s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_end                      [Unknown]    0x1c630      
gomp_team_barrier_wait_end           0.010s                       0s                            0s                            0s                          0s                             0s                            0s              0.010s                                           0.010s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_barrier_wait_end         [Unknown]    0x1dac0      
