Function                          CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module        Function (Full)                   Source File  Start Address
--------------------------------  --------  -----------------------  ----------------------------  ----------------------------  --------------------------  -----------------------------  ----------------------------  ------------------  -----------------------------------------------  ----------------------------------  ------------------------  ----------------------  -------------------------------  ---------------------------------  --------------------------------  ------------------------------  ----------------------------  ------------  --------------------------------  -----------  -------------
gomp_mutex_lock_slow               13.160s                       0s                            0s                            0s                          0s                             0s                            0s             13.160s                                               0s                             13.160s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_mutex_lock_slow              [Unknown]    0x1d260      
__strcmp_sse42                     10.780s                  10.780s                            0s                       10.780s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __strcmp_sse42                    [Unknown]    0x13e6f0     
handleEpsilon._omp_fn.0             5.359s                   5.359s                            0s                        5.359s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       handleEpsilon._omp_fn.0           [Unknown]    0x402b6d     
GOMP_critical_end                   1.420s                   1.420s                            0s                        1.420s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_end                 [Unknown]    0xc820       
GOMP_critical_start                 1.360s                   1.360s                            0s                        1.360s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_critical_start               [Unknown]    0xc800       
determineNextStates._omp_fn.0       0.440s                   0.440s                            0s                        0.440s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       determineNextStates._omp_fn.0     [Unknown]    0x402891     
[Import thunk strcmp]               0.130s                   0.130s                            0s                        0.130s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk strcmp]             [Unknown]    0x400e00     
gomp_iter_dynamic_next              0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_iter_dynamic_next            [Unknown]    0xd260       
printf                              0.030s                   0.030s                            0s                        0.030s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     printf                            [Unknown]    0x532a0      
parseTransitions                    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       parseTransitions                  [Unknown]    0x401994     
gomp_team_end                       0.020s                       0s                            0s                            0s                          0s                             0s                            0s              0.020s                                           0.020s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_team_end                     [Unknown]    0x1c630      
gomp_barrier_wait_end               0.010s                       0s                            0s                            0s                          0s                             0s                            0s              0.010s                                           0.010s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  gomp_barrier_wait_end             [Unknown]    0x1d940      
GOMP_parallel                       0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libgomp.so.1  GOMP_parallel                     [Unknown]    0x12a10      
__memset_sse2                       0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __memset_sse2                     [Unknown]    0x8f680      
__isoc99_fscanf                     0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     __isoc99_fscanf                   [Unknown]    0x6c160      
free                                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libc.so.6     free                              [Unknown]    0x85c20      
[Import thunk GOMP_critical_end]    0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  NFA_par       [Import thunk GOMP_critical_end]  [Unknown]    0x400d80     
